EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Other business activities (74),"Accounting, bookkeeping and auditing activities; tax consultancy",M,69.2,"Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy",Legal and accounting activities,"Professional, scientific and technical activities",M_69_692_6920,"Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy",Legal and accounting activities,"Professional, scientific and technical activities",N_69_692_6920
"Recreational, cultural and sporting activities (92)",Activities of amusement parks and theme parks,R,93.21,Activities of amusement parks and theme parks,Other amusement and recreation activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_932_9321,Activities of amusement parks and theme parks,Amusement and recreation activities,Sports activities and amusement and recreation activities,"Arts, sports and recreation",S_93_932_9321
Production of electricity by biomass and waste,Production of electricity,D,35.11,Biomass energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by coal,Production of electricity,D,35.11,Fossil fuels energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by Geothermal,Production of electricity,D,35.11,Geothermal energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by hydro,Production of electricity,D,35.11,Hydropower energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by nuclear,Production of electricity,D,35.11,Nuclear power production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
"Production of electricity by tide, wave, ocean",Production of electricity,D,35.11,Ocean energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by solar photovoltaic,Production of electricity,D,35.11,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Transmission of electricity,Transmission of electricity,D,35.12,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Production of electricity by wind,Production of electricity,D,35.11,Wind energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas,D,35.21,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains,D,35.22,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Manufacture of gas; distribution of gaseous fuels through mains,Trade of gas through mains,D,35.23,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Activities of brokers and agents for electric power and natural gas,Activities of brokers and agents for electric power and natural gas,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_354_3540
Activities of membership organisation n.e.c. (91),Activities of business and employers membership organisations,S,94.11,Activities of business and employers membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,S_94_941_9411,Activities of business and employers membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,T_94_941_9411
Other business activities (74),Activities of call centres,N,82.2,Activities of call centres,Activities of call centres,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_822_8220,Activities of call centres,Activities of call centres,"Office administrative, office support and other business support activities",Administrative and support service activities,O_82_822_8220
Other business activities (74),Activities of collection agencies and credit bureaus,N,82.91,Activities of collection agencies and credit bureaus,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_829_8291,Activities of collection agencies and credit bureaus,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,O_82_829_8291
Other business activities (74),Activities of employment placement agencies,N,78.1,Activities of employment placement agencies,Activities of employment placement agencies,Employment activities,Administrative and support service activities,N_78_781_7810,Activities of employment placement agencies,Activities of employment placement agencies,Employment activities,Administrative and support service activities,O_78_781_7810
Extra-territorial organizations and bodies,Activities of extraterritorial organisations and bodies,U,99,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,U_99_990_9900,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,V_99_990_9900
"Financial intermediation, except insurance and pension funding (65)",Activities of holding companies,K,64.2,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642_6420,Activities of financing conduits,Activities of holding companies and financing conduits,"Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_642_6422
Other business activities (74),Activities of holding companies,K,64.2,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642_6420,Activities of financing conduits,Activities of holding companies and financing conduits,"Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_642_6422
Other business activities (74),Activities of head offices,M,70.1,Activities of head offices,Activities of head offices,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",M_70_701_7010,Activities of head offices,Activities of head offices,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",N_70_701_7010
"Financial intermediation, except insurance and pension funding (65)",Activities of holding companies,K,64.2,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642_6420,Activities of holding companies,Activities of holding companies and financing conduits,"Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_642_6421
Other business activities (74),Activities of holding companies,K,64.2,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642_6420,Activities of holding companies,Activities of holding companies and financing conduits,"Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_642_6421
Private households with employed persons (95),Activities of households as employers of domestic personnel,T,97,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T_97_970_9700,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,U_97_970_9700
Activities auxiliary to financial intermediation (67),Activities of insurance agents and brokers,K,66.22,Activities of insurance agents and brokers,Activities auxiliary to insurance and pension funding,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_662_6622,Activities of insurance agents and brokers,Activities auxiliary to insurance and pension funding,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,L_66_662_6622
"Financial intermediation, except insurance and pension funding (65)","Trusts, funds and similar financial entities",K,64.3,"Trusts, funds and similar financial entities","Trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_643_6430,Activities of money market funds,"Activities of trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_643_6431
"Financial intermediation, except insurance and pension funding (65)","Trusts, funds and similar financial entities",K,64.3,"Trusts, funds and similar financial entities","Trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_643_6430,Activities of non-money market investments funds,"Activities of trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_643_6432
Activities of membership organisation n.e.c. (91),Activities of other membership organisations n.e.c.,S,94.99,Activities of other membership organizations n.e.c.,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949_9499,Activities of other membership organizations n.e.c.,Activities of other membership organizations,Activities of membership organizations,Other service activities,T_94_949_9499
"Recreational, cultural and sporting activities (92)",Performing arts,R,90.01,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Activities of performing arts,Activities of performing arts,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_902_9020
"Recreational, cultural and sporting activities (92)",Support activities to performing arts,R,90.02,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Activities of performing arts,Activities of performing arts,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_902_9020
"Recreational, cultural and sporting activities (92)",Artistic creation,R,90.03,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Activities of performing arts,Activities of performing arts,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_902_9020
"Recreational, cultural and sporting activities (92)",Operation of arts facilities,R,90.04,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900_9000,Activities of performing arts,Activities of performing arts,Arts creation and performing arts activities,"Arts, sports and recreation",S_90_902_9020
Activities of membership organisation n.e.c. (91),Activities of political organisations,S,94.92,Activities of political organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949_9492,Activities of political organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,T_94_949_9492
Activities of membership organisation n.e.c. (91),Activities of professional membership organisations,S,94.12,Activities of professional membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,S_94_941_9412,Activities of professional membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,T_94_941_9412
Activities of membership organisation n.e.c. (91),Activities of religious organisations,S,94.91,Activities of religious organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949_9491,Activities of religious organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,T_94_949_9491
"Recreational, cultural and sporting activities (92)",Activities of sports clubs,R,93.12,Activities of sports clubs,Sports activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_931_9312,Activities of sports clubs,Sports activities,Sports activities and amusement and recreation activities,"Arts, sports and recreation",S_93_931_9312
Activities of membership organisation n.e.c. (91),Activities of trade unions,S,94.2,Activities of trade unions,Activities of trade unions,Activities of membership organizations,Other service activities,S_94_942_9420,Activities of trade unions,Activities of trade unions,Activities of membership organizations,Other service activities,T_94_942_9420
"Financial intermediation, except insurance and pension funding (65)","Trusts, funds and similar financial entities",K,64.3,"Trusts, funds and similar financial entities","Trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_643_6430,"Activities of trust, estate and agency accounts","Activities of trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_643_6433
Activities auxiliary to financial intermediation (67),Administration of financial markets,K,66.11,Administration of financial markets,"Activities auxiliary to financial service activities, except insurance and pension funding",Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_661_6611,Administration of financial markets,"Activities auxiliary to financial services, except insurance and pension funding",Activities auxiliary to financial service and insurance activities,Financial and insurance activities,L_66_661_6611
Other business activities (74),Advertising agencies,M,73.11,Advertising,Advertising,Advertising and market research,"Professional, scientific and technical activities",M_73_731_7310,Advertising activities,Advertising activities,"Activities of advertising, market research and public relations","Professional, scientific and technical activities",N_73_731_7310
Other business activities (74),Media representation,M,73.12,Advertising,Advertising,Advertising and market research,"Professional, scientific and technical activities",M_73_731_7310,Advertising activities,Advertising activities,"Activities of advertising, market research and public relations","Professional, scientific and technical activities",N_73_731_7310
Other business activities (74),Translation and interpretation activities,M,74.3,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749_7490,"All other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",N_74_749_7499
Other business activities (74),"Other professional, scientific and technical activities n.e.c.",M,74.9,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749_7490,"All other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",N_74_749_7499
Other business activities (74),Architectural activities,M,71.11,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_711_7110,"Architectural and engineering, and related technical consultancy activities","Architectural and engineering, and related technical consultancy activities",Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",N_71_711_7110
Other business activities (74),Engineering activities and related technical consultancy,M,71.12,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_711_7110,"Architectural and engineering, and related technical consultancy activities","Architectural and engineering, and related technical consultancy activities",Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",N_71_711_7110
"Recreational, cultural and sporting activities (92)",Library and archives activities,R,91.01,Library and archives activities,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation",R_91_910_9101,Archive activities,Library and archive activities,"Library, archives, museum and other cultural activities","Arts, sports and recreation",S_91_911_9112
Other service activities (93),Hairdressing and other beauty treatment,S,96.02,Hairdressing and other beauty treatment,Other personal service activities,Other personal service activities,Other service activities,S_96_960_9602,Beauty care and other beauty treatment activities,"Hairdressing, beauty treatment, day spa and similar activities",Personal service activities,Other service activities,T_96_962_9622
Hotels and restaurants (55),Beverage serving activities,I,56.3,Beverage serving activities,Beverage serving activities,Food and beverage service activities,Accommodation and food service activities,I_56_563_5630,Beverage serving activities,Beverage serving activities,Food and beverage service activities,Accommodation and food service activities,I_56_563_5630
Production of electricity by biomass and waste,Production of electricity,D,35.11,Biomass energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Biomass energy production,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
"Recreational, cultural and sporting activities (92)",Botanical and zoological gardens and nature reserves activities,R,91.04,Botanical and zoological gardens and nature reserves activities,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation",R_91_910_9103,Botanical and zoological garden activities,Botanical and zoological garden and nature reserve activities,"Library, archives, museum and other cultural activities","Arts, sports and recreation",S_91_914_9141
Construction (45),Plastering,F,43.31,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Re-processing of secondary construction material into aggregates,Plastering,F,43.31,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Construction (45),Joinery installation,F,43.32,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Re-processing of secondary construction material into aggregates,Joinery installation,F,43.32,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Construction (45),Floor and wall covering,F,43.33,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Re-processing of secondary construction material into aggregates,Floor and wall covering,F,43.33,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Construction (45),Painting and glazing,F,43.34,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Re-processing of secondary construction material into aggregates,Painting and glazing,F,43.34,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Construction (45),Other building completion and finishing,F,43.39,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Re-processing of secondary construction material into aggregates,Other building completion and finishing,F,43.39,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433_4330
Manufacture of other transport equipment (35),Building of pleasure and sporting boats,C,30.12,Building of pleasure and sporting boats,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301_3012,Building of pleasure and sporting boats,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301_3012
Manufacture of other transport equipment (35),Building of ships and floating structures,C,30.11,Building of ships and floating structures,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301_3011,Building of ships and floating structures,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301_3011
Other business activities (74),Public relations and communication activities,M,70.21,Management consultancy activities,Management consultancy activities,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",M_70_702_7020,Business and other management consultancy activities,Business and other management consultancy activities,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",N_70_702_7020
Other business activities (74),Business and other management consultancy activities,M,70.22,Management consultancy activities,Management consultancy activities,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",M_70_702_7020,Business and other management consultancy activities,Business and other management consultancy activities,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",N_70_702_7020
Hotels and restaurants (55),"Camping grounds, recreational vehicle parks and trailer parks",I,55.3,"Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks",Accommodation,Accommodation and food service activities,I_55_552_5520,"Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks",Accommodation,Accommodation and food service activities,I_55_553_5530
Supporting and auxiliary transport activities; activities of travel agencies (63),Cargo handling,H,52.24,Cargo handling,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522_5224,Cargo handling,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522_5224
Casting of metals,Casting of iron,C,24.51,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2431,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2431
Casting of metals,Casting of steel,C,24.52,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2431,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2431
Casting of metals,Casting of light metals,C,24.53,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2432,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2432
Casting of metals,Casting of other non-ferrous metals,C,24.54,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2432,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243_2432
"Financial intermediation, except insurance and pension funding (65)",Central banking,K,64.11,Central banking,Monetary intermediation,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_641_6411,Central banking,Monetary intermediation,"Financial service activities, except insurance and pension funding",Financial and insurance activities,L_64_641_6411
"Biogasification of sewage slugde, incl. land application",Collection of hazardous waste,E,38.12,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3812,Collection of hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3812
Incineration of waste: Metals and Inert materials,Collection of hazardous waste,E,38.12,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3812,Collection of hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3812
Incineration of waste: Oil/Hazardous waste,Collection of hazardous waste,E,38.12,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3812,Collection of hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3812
Landfill of waste: Inert/metal/hazardous,Collection of hazardous waste,E,38.12,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3812,Collection of hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3812
"Biogasification of food waste, incl. land application",Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
"Biogasification of paper, incl. land application",Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
"Composting of food waste, incl. land application",Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
"Composting of paper and wood, incl. land application",Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Incineration of waste: Food,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Incineration of waste: Paper,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Incineration of waste: Plastic,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Incineration of waste: Textiles,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Incineration of waste: Wood,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Landfill of waste: Food,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Landfill of waste: Paper,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
Landfill of waste: Plastic,Collection of non-hazardous waste,E,38.11,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381_3811,Collection of non-hazardous waste,Waste collection activities,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_381_3811
