EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Manufacture of textiles (17),Manufacture of carpets and rugs,C,13.93,Manufacture of carpets and rugs,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1393,Manufacture of carpets and rugs,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1393
"Manufacture of cement, lime and plaster",Manufacture of cement,C,23.51,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394
Re-processing of ash into clinker,Manufacture of cement,C,23.51,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394
"Manufacture of cement, lime and plaster",Manufacture of lime and plaster,C,23.52,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394
Re-processing of ash into clinker,Manufacture of lime and plaster,C,23.52,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394,"Manufacture of cement, lime and plaster",Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2394
Manufacture of ceramic goods,Manufacture of ceramic tiles and flags,C,23.31,Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2392,Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2392
"Manufacture of bricks, tiles and construction products, in baked clay","Manufacture of bricks, tiles and construction products, in baked clay",C,23.32,Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2392,Manufacture of clay building materials,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2392
Processing of Food products nec,"Manufacture of cocoa, chocolate and sugar confectionery",C,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1073,"Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1073
Manufacture of coke oven products,Manufacture of coke oven products,C,19.1,Manufacture of coke oven products,Manufacture of coke oven products,Manufacture of coke and refined petroleum products,Manufacturing,C_19_191_1910,Manufacture of coke oven products,Manufacture of coke oven products,Manufacture of coke and refined petroleum products,Manufacturing,C_19_191_1910
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of communication equipment,C,26.3,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263_2630,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263_2630
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of communication equipment,C,26.3,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263_2630,Manufacture of communication equipment,Manufacture of communication equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_263_2630
Manufacture of office machinery and computers (30),Manufacture of computers and peripheral equipment,C,26.2,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262_2620,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262_2620
